GA;SA
85.09;153.64
84.54;95.89
66.44;130.11
74.93;120.49
89.65;101.25
74.38;105.41
83.82;81.86
68.24;131.21
80.93;76.28
63.49;96
65.44;76.78
79.86;95.35
75.11;75.54
102.98;106.2
88.18;131.99
74.64;116.82
80.22;76.73
79.63;105.24
83.16;120.81
92.41;105.66
83.82;75.42
89.21;120.35
74.05;91.95
81.87;120.19
92.94;101.32
78.17;105.44
79.22;114.7
84.02;87.51
79.64;110.31
72.94;151.06

