GA;SGA
5.09;2.69
4.54;2.69
6.44;5.34
4.93;8.05
4.65;5.97
9.38;2.48
3.82;6.23
3.24;2.87
5.93;2.04
3.49;2.23
5.45;3.84
4.86;2.9
5.11;6.44
7.98;2.94
8.18;2.59
4.64;4.23
5.22;4.23
4.63;3.64
3.16;4.56
7.41;4.32
3.82;3.82
4.21;3.22
4.05;3.73
6.87;3.64
2.94;3.15
3.17;3.36
4.22;2.77
4.02;4.63
4.64;4.25
2.94;4.53
