GA;SA
39.46;35.89
39.2;35.23
34.65;41.91
40.61;37.64
40.4;35.46
38.5;41.36
38.91;39.51
33.01;30.31
37.46;35.7
43.41;34.86
45.6;41.5
36.05;37.14
36.72;37.41
47.33;35.31
40.32;46.09
42.36;36.7
36.2;35.56
37.5;34.28
37.98;41.17
32.52;45.02
41.12;37.13
38.78;41.11
33.65;43.74
34.52;29.28
38.61;40.19
41.17;40.82
30.71;37.01
43.42;35.31
35.88;37.79
37.28;32.16
