GA;SA
108.18;95.59
119.98;114.42
112.96;112.36
121.9;129.32
118.34;121.71
122.64;111.43
117.01;120.15
118.36;113.38
131.93;126.39
126.33;133.29
114.05;104.27
118.78;94.98
107.51;115.5
95.78;130.11
118.56;104.33
109.24;124.06
108.2;98.12
120.93;150.32
106.81;102.5
112.56;118.14
126.88;110.38
107.48;133.42
125.3;118.13
105.72;133.21
124.99;110.57
103.03;140.38
111.38;98.75
124.44;125.63
126.82;116.32
141.31;101.64
