GA;SA
2.38;2.19
1.7;2.76
3.25;3.82
2.04;4.11
1.81;2.53
2.51;3.17
3.43;2.32
2.31;2.84
3.31;2.04
2.01;7.26
3.69;1.98
3.48;1.91
3.77;4.02
3.49;2
2.01;2.86
3.04;2.25
2.1;2.71
7.51;3.01
2.77;2.58
2.29;2.79
1.76;2.67
2.4;2.94
3.11;1.58
2.91;3.15
1.67;5.16
3.03;2.94
2.55;2.25
3.36;2.7
2.81;3.22
4.08;1.67
