GA;SA
8.18;10.59
9.98;9.42
7.96;12.36
11.9;14.32
8.34;6.71
12.64;11.43
12.01;10.15
8.36;8.38
11.93;16.39
16.33;8.29
14.05;14.27
8.78;9.98
12.51;15.5
10.78;10.11
8.56;9.33
9.24;9.06
8.2;13.12
10.93;20.32
11.81;7.5
7.56;8.14
11.88;10.38
7.48;8.42
10.3;13.13
10.72;8.21
4.99;10.57
8.03;15.38
11.38;13.75
14.44;15.63
6.82;11.32
6.31;6.63
