GA;SA
2.38;2.31
4.89;2.11
1.39;2.48
2.89;2.34
2.27;3.66
1.84;5.91
1.87;3.47
2.44;2.64
2.36;2.84
2.15;3.69
1.63;4.31
1.59;2.26
2.15;3.08
1.56;3.84
1.93;2.47
1.34;3.27
2.23;3.24
4.11;3.8
1.94;2.78
1.5;2.34
2.07;2.43
3.22;2.45
1.56;2.2
2.39;2.34
1.84;2.44
1.53;2.85
1.59;1.7
2.28;2.8
3.29;3.13
1.94;3.08
