GA;SA
41.83;38.19
44.09;37.34
36.03;44.39
43.51;39.98
42.67;39.12
40.35;47.27
40.78;42.98
35.45;32.94
39.82;38.54
45.56;38.55
47.23;45.81
37.64;39.4
38.86;40.49
48.89;39.15
42.26;48.56
43.7;39.97
38.42;38.8
41.6;38.09
39.92;43.95
34.02;47.36
43.19;39.56
42;43.55
35.21;45.93
36.91;31.62
40.45;42.63
42.7;43.67
32.3;38.71
45.71;38.11
39.17;40.92
39.22;35.24

