GA;SA
100;85
110;105
105;100
110;115
110;115
110;100
105;110
110;105
120;110
110;125
100;90
110;85
95;100
85;120
110;95
100;115
100;85
110;130
95;95
105;110
115;100
100;125
115;105
95;125
120;100
95;125
100;85
110;110
120;105
135;95
