GA;SA
92.38;92.19
91.7;92.76
93.25;93.82
92.04;94.11
91.81;92.53
92.51;93.17
93.43;92.32
92.31;92.84
93.31;92.04
92.01;97.26
93.69;91.98
93.48;91.91
93.77;94.02
93.49;92
92.01;92.86
93.04;92.25
92.11;92.72
97.52;93.01
92.78;92.58
92.29;92.79
91.76;92.67
92.4;92.94
93.11;91.58
92.91;93.15
91.67;95.16
93.03;92.94
92.55;92.25
93.36;92.7
92.81;93.22
94.08;91.67
